연도,역번호,역명,1월 승차, 1월 하차,2월 승차, 2월 하차,3월 승차,3월 하차,4월 승차,4월 하차,5월 승차,5월 하차,6월 승차,6월 하차,7월 승차,7월 하차,8월 승차,8월 하차,9월 승차,9월 하차,10월 승차,10월 하차,11월 승차,11월 하차,12월 승차,12월 하차
2009,111,시청,"207,135","223,067","208,582","227,388","212,881","237,170","201,345","224,596","210,147",233011,"201,075","221,314","214,217","235,387","207,357","225,493","207,874","231,868","196,001","218,667","193,756","215,977","218,371","242,181"
2009,112,정부청사,"144,792","157,127","152,039","162,723","163,127","177,154","158,249","172,537","162,628",177464,"153,046","169,461","153,643","168,707","149,186","164,591","152,216","166,661","153,516","167,664","147,383","162,263","162,443","179,559"
2009,113,갈마,"99,129","95,255","99,556","95,311","106,916","103,650","103,517","100,046","105,095",101228,"96,968","93,361","99,032","94,543","95,104","90,892","97,900","93,590","97,797","93,854","94,357","89,835","102,354","96,568"
2009,114,월평,"108,070","107,292","108,336","106,841","124,217","123,141","120,245","119,131","123,763",123839,"117,151","116,173","118,400","117,699","113,018","113,426","120,642","119,778","118,119","118,190","116,461","117,023","122,949","121,014"
2009,115,갑천,"29,395","29,092","30,546","30,102","34,309","34,818","34,945","34,987","35,264",35361,"33,128","33,160","31,281","30,659","31,769","32,264","32,914","32,808","33,112","32,980","32,268","31,696","33,135","32,473"
2009,116,유성온천,"164,430","163,149","167,411","167,460","202,870","199,810","186,925","183,998","193,739",192403,"168,937","167,509","156,057","156,481","151,460","152,080","168,933","167,756","171,377","169,364","166,552","167,050","178,129","177,460"
2009,117,구암,"80,815","78,765","83,373","79,476","100,330","96,253","98,425","95,765","99,146",95418,"91,604","88,716","87,260","85,040","84,842","82,550","94,740","91,070","92,627","88,653","88,427","83,792","91,148","84,631"
2009,118,현충원,"33,868","27,952","36,641","30,332","59,945","58,212","66,391","62,264","62,917",57769,"49,768","48,658","38,380","34,286","39,648","34,709","52,560","52,645","52,523","51,714","47,326","46,988","41,997","39,167"
2009,119,월드컵경기장,"52,144","48,697","52,503","49,184","62,166","59,214","64,443","60,417","65,552",64070,"63,102","59,611","59,766","56,103","56,211","53,051","60,716","56,722","67,448","62,601","58,094","54,746","63,075","58,487"
2009,120,노은,"90,820","93,261","92,287","94,899","100,698","102,971","96,544","98,762","101,191",103644,"96,496","98,879","100,444","102,134","95,417","98,043","97,096","98,831","95,047","96,062","92,145","92,981","102,706","102,024"
2009,121,지족,"73,344","73,116","72,798","73,268","88,665","89,400","86,612","87,463","85,555",85683,"81,308","83,071","79,060","79,756","73,605","74,501","82,367","82,490","82,003","80,721","79,549","78,105","84,413","82,731"
2009,122,반석,"74,222","68,939","75,307","69,725","83,454","76,885","81,582","75,172","82,758",76707,"81,533","74,897","83,639","76,954","79,811","73,873","80,957","74,927","78,025","72,233","75,758","69,918","83,533","76,395"
2010,101,판암,"131,713","116,754","118,812","104,482","148,425","132,434","147,928","130,927","150,216","132,711","142,958","125,930","143,052","124,903","133,040","117,085","133,740","118,110","150,859","132,311","143,713","125,496","148,904","129,606"
2010,102,신흥,"59,763","48,468","51,538","42,287","61,391","50,890","60,482","49,924","60,984","50,740","60,200","49,879","59,434","49,412","56,417","46,889","54,596","45,454","59,767","48,788","57,719","47,330","64,051","51,205"
2010,103,대동,"126,797","104,215","112,086","92,674","170,277","144,542","163,702","139,608","165,533","140,274","159,105","134,934","148,558","122,699","132,527","108,573","147,039","121,955","167,738","141,697","166,493","141,084","174,357","146,923"
2010,104,대전,"313,638","308,651","277,833","276,623","325,322","322,947","316,689","318,990","336,749","333,829","312,565","312,841","308,234","311,298","304,162","301,781","296,782","298,141","332,654","334,324","318,007","320,327","342,666","351,521"
2010,105,중앙로,"213,268","229,321","199,419","214,126","221,259","235,257","202,348","218,377","227,640","241,841","199,347","214,584","211,709","227,674","203,225","217,506","194,063","210,568","205,488","226,285","199,784","218,885","240,220","259,898"
2010,106,중구청,"65,872","70,803","58,175","61,633","71,269","74,555","68,556","72,182","67,209","71,420","68,126","71,566","67,039","71,164","60,805","65,120","60,910","64,740","69,238","73,083","68,046","72,252","72,330","77,864"
2010,107,서대전네거리,"225,639","230,980","196,982","203,116","232,658","238,397","227,862","232,541","241,312","246,181","236,363","242,818","223,059","230,769","210,798","218,479","203,778","210,536","231,522","238,696","227,234","234,988","259,167","265,474"
2010,108,오룡,"118,082","104,544","104,690","92,884","132,453","115,776","131,134","115,367","127,274","112,320","123,837","109,489","120,687","106,624","114,569","101,893","116,722","102,416","133,911","118,497","134,564","118,734","146,956","131,048"
2010,109,용문,"214,014","216,330","185,180","186,808","223,229","226,982","221,630","224,622","225,772","227,151","217,784","219,194","214,341","213,726","200,615","200,101","197,482","196,526","223,508","225,473","220,119","221,564","242,997","245,382"
2010,110,탄방,"129,485","144,711","114,510","128,713","137,083","153,945","133,580","149,804","134,198","151,202","133,424","149,005","133,947","150,188","125,151","140,086","120,275","135,197","135,242","152,078","131,337","148,064","149,916","169,604"
2010,111,시청,"224,002","244,610","194,115","211,062","218,262","239,294","210,153","231,145","218,643","239,998","208,986","228,743","213,668","234,066","200,067","216,643","188,459","208,439","213,854","234,703","212,378","232,882","249,826","272,746"
2010,112,정부청사,"158,315","174,371","135,728","148,565","163,072","181,842","163,983","181,636","169,579","187,361","159,504","176,198","155,658","172,051","148,336","164,829","143,720","158,914","171,854","189,907","168,528","186,072","195,100","214,423"
2010,113,갈마,"102,340","98,507","89,647","86,007","104,757","102,924","103,889","100,564","107,766","103,815","102,786","99,032","101,197","96,558","93,527","89,536","92,637","89,330","104,693","100,095","101,842","98,042","112,270","107,939"
2010,114,월평,"121,270","120,459","105,127","103,869","126,933","125,489","124,664","122,875","129,717","128,515","122,304","121,541","120,456","120,323","114,092","115,625","114,551","114,759","128,919","128,357","127,492","126,775","136,613","134,320"
2010,115,갑천,"32,260","31,601","27,965","27,663","33,805","33,387","34,283","33,887","35,201","34,801","34,335","33,810","33,400","33,111","31,243","30,810","30,139","29,284","35,854","35,304","34,720","34,055","36,370","35,358"
2010,116,유성온천,"165,780","167,318","144,364","145,004","196,681","194,201","188,187","185,310","194,248","192,153","173,254","170,143","160,972","159,456","150,135","151,619","164,028","160,488","204,340","198,464","209,225","203,153","235,153","228,245"
2010,117,구암,"85,094","81,015","76,923","73,189","97,673","92,211","97,999","92,304","100,795","95,696","95,061","90,256","89,060","85,821","82,029","79,452","87,491","83,294","97,280","91,215","94,942","88,735","96,909","91,352"
2010,118,현충원,"35,432","31,283","31,832","28,001","56,312","57,652","60,738","60,995","60,447","59,924","51,663","51,232","40,844","37,156","41,480","36,521","49,970","48,653","59,805","57,787","56,939","55,414","48,933","45,066"
2010,119,월드컵경기장,"60,013","55,614","52,853","49,066","67,656","62,148","66,059","61,441","68,078","66,890","84,886","82,042","66,427","61,950","61,805","57,147","64,578","59,994","71,116","66,171","70,364","66,686","76,568","71,339"
2010,120,노은,"102,839","103,961","89,307","90,830","103,356","105,233","100,704","101,970","104,977","106,408","102,203","102,176","105,483","106,466","100,274","102,547","94,449","96,214","106,056","107,840","105,099","106,365","120,012","120,241"
